Name,ID,Birth Year
Bùi Mạnh Cường,pol7530585,
Bùi Ngọc Hòa,pol7515124,1955
Chu Nguyệt Ánh,pol14800826,1969
Dương Thanh Biểu,pol15406392,
Dương Văn Phùng,pol14402716,1959
Hoàng Nghĩa Mai,pol15406891,
Hoàng Đình Toàn,pol13566776,1958
Hoàng Đạo Cương,pol19791749,1970
Huỳnh Văn Lưu,pol13813140,1961
Hà Quang Dĩnh,pol13481962,1959
Hồ Đức Anh,pol13486677,
Lê Hữu Thể,pol7530202,1958
Lê Quang Tiến,pol14877746,
Lê Tiến,pol14870424,1969
Lê Đức Xuân,pol14382518,1966
Lương Văn Cường,pol13979826,1968
Lại Anh Tuấn,pol17643488,
Nguyễn Duy Giảng,pol13476042,1966
Nguyễn Hải Phong,pol7530517,1958
Nguyễn Hải Trâm,pol13673094,1975
Nguyễn Hồng Nam,pol13555809,1968
Nguyễn Ngọc Vân,pol13555588,1961
Nguyễn Quang Thành,pol13475497,1961
Nguyễn Thúy Hiền,pol7526986,1960
Nguyễn Thị Thủy Khiêm,pol1464997,1958
Nguyễn Tiến Sơn,pol14383148,1969
Nguyễn Trí Tuệ,pol7536943,1963
"Nguyễn Văn Du, Nguyễn Huy Du",pol7526702,1963
Nguyễn Văn Hòa,pol13985267,1965
Nguyễn Văn Hạnh,pol3349824,1959
Nguyễn Văn Quang,pol13985394,1967
Nguyễn Văn Thuân,pol7536882,1958
Nguyễn Xuân Sanh,pol13467610,
Nguyễn Đăng Kính,pol1677704,1941
Ngô Tiến Hùng,pol11203829,1962
Phan Trường Sơn,pol13669202,1959
Phan Văn Sơn,pol13645858,
Phan Văn Tâm,pol14795106,1970
Phạm Hồng Tâm,pol13470260,
Phạm Minh Tuyên,pol13571178,1963
Phạm Quốc Hưng,pol14847794,1973
Phạm Quốc Khánh,pol13927551,
Phạm Thanh Từng,pol14800798,1978
Phạm Văn Cần,pol13989642,
Trần Phước Tới,pol3268492,1954
Trần Thanh Vân,pol13671706,1959
Trần Văn Tú,pol11252620,1952
Tôn Thiện Phương,pol13984687,1971
Tăng Ngọc Tuấn,pol14378859,
Tạ Quang Khải,pol16209863,1964
Tạ Quang Đông,pol19791751,1966
Tống Anh Hào,pol7536750,1956
Vũ Văn Diến,pol13984466,
Vũ Đăng Khoa,pol14831836,1957
Đoàn Minh Hương,pol13984884,1959
Đoàn Văn Bắc,pol13743639,1966
Đặng Quang Phương,pol7509983,1953
