Name,ID,Birth Year
Bùi Quang Huy,pol3699833,1977
Bùi Thanh Khiết,pol3172271,1924
Bùi Thiện Ngộ,pol37618,1929
Chu Huy Mân,pol42320,1913
Chu Tuấn Nhạ,pol514066,1939
Cù Thị Hậu,pol279871,1944
Hoàng Bích Sơn,pol434645,1924
Hoàng Kông Tư,pol10572623,1953
Hoàng Quốc Thịnh,pol3172142,1911
Hoàng Quốc Việt,pol152359,1905
Hoàng Văn Thái,pol8349,1915
Huỳnh Cương,pol19945817,1925
Hà Kế Tấn,pol3162342,1912
Hồ Đức Việt,pol47474,1947
Hồng Hà,pol590324,1928
Lê Hiến Mai,pol66510,1918
"Lê Hồng Anh, Út Anh",pol8741,1949
Lê Khắc,pol1408126,1916
Lê Liêm,pol1585045,1922
Lê Minh Hương,pol32687,1936
Lê Ngọc Nam 1953,pol13257226,1953
Lê Phước Thọ,pol645923,1927
Lê Quang Minh,pol19358048,1968
Lê Quang Đạo,pol55006,1921
Lê Thanh Nghị,pol99226,1911
Lê Thanh Đạo,pol2282614,1944
Lê Vinh Quy,pol19714691,1967
Lê Văn Dũng,pol102743,1945
Lê Văn Lương,pol184806,1912
Lê Văn Tuyến,pol19691285,1973
Lê Xuân Tùng,pol42514,1936
Lê Xuân Đức,pol15256793,
Lê Đức Thịnh,pol3172199,1927
Lê Đức Thọ,pol10086,1911
Lương Tam Quang,pol11474320,1965
Mai Chí Thọ,pol8742,1922
Nghiêm Xuân Yêm,pol464513,1913
Nguyễn Anh Tuấn,pol15275258,1962
Nguyễn Chân,pol19624793,1929
Nguyễn Côn,pol495324,1916
"Nguyễn Cơ Thạch, Phạm Văn Cương",pol55529,1921
Nguyễn Duy Ngọc,pol11441242,1964
Nguyễn Duy Trinh,pol56232,1910
"Nguyễn Hà Phan, Sáu Phan",pol470262,1933
Nguyễn Hữu Hoài,pol3692252,1958
Nguyễn Hữu Mai,pol1519379,1914
Nguyễn Hữu Thọ,pol58405,1910
Nguyễn Khang,pol185443,1919
Nguyễn Lam,pol786059,1921
Nguyễn Minh Triết,pol46776,1942
Nguyễn Minh Triết,pol19741999,1988
Nguyễn Nam Khánh,pol364838,1927
Nguyễn Ngọc Lâm,pol19705848,1973
Nguyễn Sinh Hùng,pol47134,1946
Nguyễn Thanh Bình,pol444902,1918
Nguyễn Thị Bình,pol85115,1927
Nguyễn Thị Xuân Mỹ,pol1462931,1940
Nguyễn Văn An,pol22501,1937
Nguyễn Văn Chi,pol49101,1945
Nguyễn Văn Kha,pol19623282,1922
Nguyễn Văn Long,pol19813142,1974
Nguyễn Văn Sơn,pol3350468,1961
Nguyễn Văn Thành,pol571721,1957
Nguyễn Văn Trân,pol660306,1917
Nguyễn Văn Tính,pol53087,1944
Nguyễn Văn Viện,pol19431162,1966
Nguyễn Văn Vịnh,pol620744,1918
Nguyễn Vĩnh Nghiệp,pol138738,1931
Nguyễn Xuân Phúc,pol459014,1954
Nguyễn Xuân Thắng,pol3719106,1957
Nguyễn Đình Tứ,pol42610,1932
Nguyễn Đức Bình,pol44663,1927
Nguyễn Đức Tâm,pol184811,1920
"Ngô Văn Dụ, Hai Dụ",pol55271,1947
Nông Đức Mạnh,pol6293,1940
Phan Diễn,pol645614,1937
Phan Lâm Phương,pol3692352,1949
Phan Trọng Tuệ,pol66633,1917
"Phan Văn Khải, Sáu Khải",pol1452,1933
Phạm Dũng,pol3157979,1956
Phạm Hùng,pol16602,1912
Phạm Ngọc Mậu,pol831321,1919
Phạm Phước,pol7682730,
Phạm Quang Nghị,pol109020,1949
Phạm Thanh Ngân,pol396890,1939
Phạm Thế Tùng,pol19729427,1972
Phạm Văn Dần,pol13191123,
Phạm Văn Đồng,pol1291,1906
Phạm Vũ Luận,pol506931,1955
"Tiến sĩ, Nguyễn Ngọc Lương",pol3699864,1978
Trương Mỹ Hoa,pol50013,1945
Trương Thiên Tô,pol19600538,1970
"Trương Vĩnh Trọng, Hai Nghĩa",pol106806,1942
Trường Chinh,pol18218,1907
Trần Hoàn,pol41292,1928
Trần Huy Hồng,pol15656908,
Trần Hồng Quân,pol509015,1937
"Trần Khuy, (Trần Nam Trung)",pol69167,1912
Trần Kiên,pol184812,1920
Trần Phương,pol478106,1927
Trần Quyết,pol184807,1922
Trần Sự,pol13375468,1928
Trần Xuân Bách,pol44179,1924
Trần Đình Hoan,pol477120,1939
Trần Đăng Yến,pol11673624,
Trần Đại Quang,pol13954206,1956
Trần Độ,pol43425,1923
Trần Đức Lương,pol838,1937
Tòng Thị Phóng,pol325227,1954
Tô Huy Rứa,pol318392,1947
Tạ Ngọc Tấn,pol257277,1954
Tố Hữu,pol43380,1920
Ung Văn Khiêm,pol144669,1910
Võ Chí Công,pol83336,1912
Võ Nguyên Giáp,pol867,1911
Võ Thái Hòa,pol13468319,1937
Võ Thúc Đồng,pol1519390,1914
Võ Trần Chí,pol826460,1927
Võ Viết Thanh,pol1401081,1943
Võ Văn Kiệt,pol46336,1922
Võ Văn Thưởng,pol248258,1970
Văn Tiến Dũng,pol1271,1917
Vũ Oanh,pol645933,1924
Vũ Quang,pol19745468,1926
Vũ Tuân,pol3164557,1922
Vũ Đình Liệu,pol1400152,1919
Vương Đình Huệ,pol787326,1957
Đinh Hữu Cường,pol7569462,
Đinh Văn Toản,pol13800064,
Đoàn Ngọc Hùng,pol13800223,1961
Đoàn Trọng Truyến,pol477380,1922
Đào Duy Tùng,pol313214,1924
Đậu Ngọc Xuân,pol436159,1927
Đặng Hồng Đức,pol19784215,1977
Đặng Hữu,pol1406006,1930
Đặng Quốc Bảo,pol57985,1927
Đặng Trần Chiêu,pol15556144,1960
Đặng Việt Châu,pol555240,1914
Đỗ Quang Thắng,pol625692,1927
